Year,ID,Age,Vs,CWD,Pf,height,dbh
1971,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1972,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1973,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1974,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1975,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1976,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1977,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1978,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1979,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1980,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1981,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1982,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1983,47263098\Pli\222-21/21\$L84,NA,241.7695,0.54425,0.004,23.67,23.13583333
1984,47263098\Pli\222-21/21\$L84,0,0,0,0.004,0,0
1985,47263098\Pli\222-21/21\$L84,1,0,0,0.004,0,0.2
1986,47263098\Pli\222-21/21\$L84,2,0,0,0.004,0.1,0.2
1987,47263098\Pli\222-21/21\$L84,3,0,0,0.004,0.2,0.2
1988,47263098\Pli\222-21/21\$L84,4,0,0,0.004,0.3,0.2
1989,47263098\Pli\222-21/21\$L84,5,0,0,0.004,0.4,0.2
1990,47263098\Pli\222-21/21\$L84,6,0,0,0.004,0.6,0.2
1991,47263098\Pli\222-21/21\$L84,7,0,0,0.004,0.9,0.2
1992,47263098\Pli\222-21/21\$L84,8,0,0,0.004,1.1,0.2
1993,47263098\Pli\222-21/21\$L84,9,0,0,0.004,1.3,0.2
1994,47263098\Pli\222-21/21\$L84,10,0,0,0.004,1.6,0.2
1995,47263098\Pli\222-21/21\$L84,11,0,0,0.004,1.8,0.6
1996,47263098\Pli\222-21/21\$L84,12,0,0,0.004,2.1,1
1997,47263098\Pli\222-21/21\$L84,13,0,0,0.004,2.3,1.2
1998,47263098\Pli\222-21/21\$L84,14,0,0,0.004,2.6,1.6
1999,47263098\Pli\222-21/21\$L84,15,0,0.00025,0.004,2.9,2.2
2000,47263098\Pli\222-21/21\$L84,16,0,0.0005,0.004,3.2,2.6
2001,47263098\Pli\222-21/21\$L84,17,0,0.001,0.004,3.5,3
2002,47263098\Pli\222-21/21\$L84,18,0,0.0025,0.004,3.8,3.4
2003,47263098\Pli\222-21/21\$L84,19,0,0.003,0.004,4.1,3.7
2004,47263098\Pli\222-21/21\$L84,20,0,0.00375,0.004,4.3,4
2005,47263098\Pli\222-21/21\$L84,21,0,0.00525,0.004,4.6,4.3
2006,47263098\Pli\222-21/21\$L84,22,0,0.006,0.004,4.9,4.6
2007,47263098\Pli\222-21/21\$L84,23,0,0.0075,0.004,5.2,4.8
