Year,Vs,E_vb,ID,Pf
1971,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1972,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1973,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1974,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1975,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1976,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1977,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1978,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1979,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1980,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1981,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1982,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1983,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1984,241.7695,0.005,47263098\Pli\222-21/21\$L84,0.01
1985,0,0.005,47263098\Pli\222-21/21\$L84,0.01
1986,2,0.005,47263098\Pli\222-21/21\$L84,0.01
1987,4,0.005,47263098\Pli\222-21/21\$L84,0.01
1988,6,0.005,47263098\Pli\222-21/21\$L84,0.01
1989,8,0.005,47263098\Pli\222-21/21\$L84,0.01
1990,10,0.005,47263098\Pli\222-21/21\$L84,0.01
1991,12,0.005,47263098\Pli\222-21/21\$L84,0.01
1992,14,0.005,47263098\Pli\222-21/21\$L84,0.01
1993,16,0.005,47263098\Pli\222-21/21\$L84,0.01
1994,18,0.005,47263098\Pli\222-21/21\$L84,0.01
1995,20,0.005,47263098\Pli\222-21/21\$L84,0.01
1996,22,0.005,47263098\Pli\222-21/21\$L84,0.01
1997,24,0.005,47263098\Pli\222-21/21\$L84,0.01
1998,26,0.005,47263098\Pli\222-21/21\$L84,0.01
1999,28,0.005,47263098\Pli\222-21/21\$L84,0.01
2000,30,0.005,47263098\Pli\222-21/21\$L84,0.01
2001,32,0.005,47263098\Pli\222-21/21\$L84,0.01
2002,34,0.005,47263098\Pli\222-21/21\$L84,0.01
2003,36,0.005,47263098\Pli\222-21/21\$L84,0.01
2004,38,0.005,47263098\Pli\222-21/21\$L84,0.01
2005,40,0.005,47263098\Pli\222-21/21\$L84,0.01
2006,42,0.005,47263098\Pli\222-21/21\$L84,0.01
2007,44,0.005,47263098\Pli\222-21/21\$L84,0.01
